[[25.0,10.0,5.0,0.0,25.0,10.0,5.0,0.0],-1]
[[22.0,10.0,5.0,0.0,25.0,10.0,5.0,1.0],-1]
[[22.0,9.0,5.0,1.0,25.0,10.0,5.0,2.0],-1]
[[8.0,10.0,6.0,2.0,25.0,6.0,5.0,2.0],-1]
[[5.0,7.0,6.0,2.0,19.0,6.0,5.0,2.0],-1]
[[0.0,10.0,7.0,2.0,16.0,7.0,5.0,2.0],-1]
[[25.0,6.0,5.0,1.0,25.0,7.0,5.0,1.0],0]
[[19.0,10.0,5.0,2.0,22.0,7.0,5.0,1.0],0]
[[19.0,6.0,5.0,2.0,22.0,5.0,5.0,1.0],0]
[[16.0,6.0,5.0,2.0,17.0,6.0,5.0,2.0],0]
[[16.0,5.0,5.0,3.0,17.0,7.0,6.0,2.0],0]
[[2.0,5.0,5.0,3.0,4.0,7.0,6.0,2.0],0]
[[0.0,6.0,6.0,4.0,0.0,7.0,6.0,3.0],0]
[[25.0,6.0,5.0,1.0,25.0,7.0,5.0,1.0],-1]
[[22.0,5.0,5.0,2.0,25.0,8.0,5.0,2.0],-1]
[[13.0,6.0,5.0,3.0,22.0,6.0,5.0,2.0],-1]
[[13.0,6.0,6.0,3.0,22.0,7.0,6.0,3.0],-1]
[[13.0,6.0,6.0,3.0,22.0,7.0,6.0,3.0],-1]
[[7.0,8.0,7.0,4.0,22.0,7.0,6.0,4.0],-1]
[[7.0,9.0,7.0,5.0,15.0,8.0,8.0,4.0],-1]
[[0.0,10.0,9.0,5.0,15.0,10.0,8.0,5.0],-1]
[[25.0,7.0,5.0,1.0,25.0,8.0,5.0,1.0],1]
[[25.0,6.0,5.0,2.0,25.0,10.0,5.0,2.0],1]
[[25.0,7.0,5.0,3.0,25.0,6.0,5.0,2.0],1]
[[18.0,5.0,5.0,3.0,18.0,5.0,5.0,3.0],1]
[[15.0,5.0,5.0,3.0,13.0,6.0,5.0,4.0],1]
[[8.0,5.0,5.0,3.0,0.0,7.0,6.0,5.0],1]
[[25.0,7.0,5.0,1.0,25.0,7.0,5.0,1.0],1]
[[25.0,9.0,5.0,2.0,25.0,10.0,5.0,1.0],1]
[[22.0,8.0,5.0,3.0,25.0,8.0,5.0,1.0],1]
